id_respuesta,departamento,antiguedad_anios,nivel,pregunta,comentario,sentimiento_real
1,Producto,13,Director,¿Cómo describirías tu experiencia trabajando en esta empresa?,"Las condiciones son aceptables, no tengo quejas graves pero tampoco elogios.",neutro
2,Marketing,1,Senior,¿Cómo describirías tu experiencia trabajando en esta empresa?,La empresa ofrece muchas oportunidades de crecimiento y desarrollo profesional.,positivo
3,Legal,4,Junior,¿Cómo describirías tu experiencia trabajando en esta empresa?,No se reconoce el trabajo bien hecho y la gestión del desempeño es opaca.,negativo
4,Ventas,6,Mid,¿Cómo describirías tu experiencia trabajando en esta empresa?,"Me encanta el ambiente de trabajo, el equipo siempre está dispuesto a ayudar.",positivo
5,Legal,4,Mid,¿Cómo describirías tu experiencia trabajando en esta empresa?,"Los procesos internos son demasiado lentos y burocrático, frustrante.",negativo
6,Legal,0,Mid,¿Cómo describirías tu experiencia trabajando en esta empresa?,"Las condiciones son aceptables, no tengo quejas graves pero tampoco elogios.",neutro
7,Legal,7,Senior,¿Cómo describirías tu experiencia trabajando en esta empresa?,"Los procesos internos son demasiado lentos y burocrático, frustrante.",negativo
8,Legal,1,Manager,¿Cómo describirías tu experiencia trabajando en esta empresa?,La empresa ofrece muchas oportunidades de crecimiento y desarrollo profesional.,positivo
9,Ventas,9,Mid,¿Cómo describirías tu experiencia trabajando en esta empresa?,Hay un espíritu de colaboración y apoyo muy sano entre los compañeros.,positivo
10,Legal,10,Senior,¿Cómo describirías tu experiencia trabajando en esta empresa?,"Estoy muy satisfecho con mi puesto, los proyectos son desafiantes y motivadores.",positivo
11,Ventas,12,Director,¿Cómo describirías tu experiencia trabajando en esta empresa?,"Mi rol tiene partes interesantes y partes rutinarias, es un balance.",neutro
12,Recursos Humanos,8,Mid,¿Cómo describirías tu experiencia trabajando en esta empresa?,"Me encanta el ambiente de trabajo, el equipo siempre está dispuesto a ayudar.",positivo
13,Tecnología,3,Director,¿Cómo describirías tu experiencia trabajando en esta empresa?,"El ambiente es bastante competitivo y poco colaborativo, genera estrés.",negativo
14,Legal,3,Manager,¿Cómo describirías tu experiencia trabajando en esta empresa?,"Me siento valorado y reconocido por mi trabajo, hay una cultura de feedback continuo.",positivo
15,Operaciones,1,Manager,¿Cómo describirías tu experiencia trabajando en esta empresa?,"La empresa está en proceso de cambio, habrá que ver cómo evoluciona.",neutro
16,Finanzas,11,Manager,¿Cómo describirías tu experiencia trabajando en esta empresa?,La empresa invierte en formación y se nota el compromiso con el talento.,positivo
